"...Ḥájíbu'd-Dawlih	"...Hajibu'd-Dawlih	1
"Alláho'	"Allaho'	1
"Alláho	"Allaho	1
"Alláh–u–Abhá"!	"Alláh-u-Abhá"!	1
"Alláh–u–Abhá".'[30]	"Alláh-u-Abhá".'[30]	1
"Alláh–u–Abhá,"which	"Alláh-u-Abhá,"which	1
"Alláh–u–Abhá,	"Alláh-u-Abhá,	1
"Azali"	"Azalí"	1
"BAHÁ’ÍSIS	"BAHAISIS	1
"BaháT',	"BahaT',	1
"Bahá’ísm"	"Bahaism"	1
"Bahá’ísm,"	"Bahaism,"	1
"Bahá’ísm,	"Bahá'ism,	1
"Bahá’ísmus";	"Bahá'ísmus";	1
"Bahá’íyyih,"	"Bahá'iyyih,"	1
"Shogi".	"Shoghi".	1
&Bahá’ísm,"	&Bahá'ism,"	1
'Abbúdcame	'Abbudcame	1
'Abbúdconsidered	'Abbudconsidered	1
'Abbúdinterceded,	'Abbudinterceded,	1
'Abbúdmade	'Abbudmade	1
'Abdu'r-Rasul-i-Mansur-i-Kás_háni	'Abdu'r-Rasul-i-Mansur-i-Kás_hání	1
'Akbar-i-Shahmirzadi[*]	'Akbar-i-S_háhmirzadi[*]	1
'Aliy-i-Nuri.	'Aliy-i-Núrí.	1
'Aliy-i-Ṭihráni.	'Aliy-i-Tihrani.	1
'Alláh–u–Abhá!'"	'Alláh-u-Abhá!'"	1
'Alláh–u–Abhá'".	'Alláh-u-Abhá'".	1
'Alláh–u–Abhá'--God	'Alláh-u-Abhá'--God	1
'Azali'	'Azalí'	1
'BAGDADI	'BAG_HDÁDI	1
'BAHÁ’ÍST	'BAHAIST	1
'Bahá’ísm'),	'Bahá'ism'),	1
'Bahá’ísm',	'Bahaism',	1
'Bahá’ísm'.	'Bahá'ism'.	1
'Bahá’ísm,	'Bahá'ism,	1
'Bahá’ísm-Religion	'Bahá'ism-Religion	1
'Bahá’ísm	'Bahaism	1
'Bahá’ísm.'	'Bahaism.'	1
'Bahá’ísm:	'Bahaism:	1
'Bahá’ísmus',	'Bahá'ismus',	1
'Bahá’ísmus',	'Bahá'ísmus',	1
'Bahá’ísmus'	'Bahá'ismus'	1
'Bahá’ísmus'.	'Bahá'ismus'.	1
'INAYATU'LLAH,	‘INÁYATU’LLÁH,	1
'Ibn-Abhár,"	'Ibn-Abhar,"	1
'Ibn-Abhár?'	'Ibn-Abhar?'	1
'KHAN	'K_HÁN	1
'Mullás	'Mullahs	1
'S_hayk_hi	'Shaykhi	1
'S_hayk_hlyah',	'Shaykhlyah',	1
'Shahinshah'	'S_háhinshah'	1
'SuBahá’íssion	'SuBahá'ission	1
'_Alláh–u–Abhá_'	'_Alláh-u-Abhá_'	1
'Ḥasan-i-Mázindaráni',	'Ḥasan-i-Mázindarání',	1
(Alláhumma),	(Allahumma),	1
(Alláh–u–Abhá),	(Alláh-u-Abhá),	1
(Bahá’ímw,	(Bahá'imw,	1
(Bahá’ísm)	(Bahaism)	1
(Bahá’ísm,	(Bahá'ism,	1
(Bahá’ísmau,	(Bahá'ismau,	1
(Bahá’ísmlrs,	(Bahá'ismlrs,	1
(Bahá’ísmrrs,	(Bahá'ismrrs,	1
(Bahá’ísmua,	(Bahá'ismua,	1
(Bahá’ísmu~,	(Bahá'ismu~,	1
(Bábs).	(Babs).	1
(Kás_háni),	(Kás_hání),	1
(Kás_háni).	(Kás_hání).	1
(Nuri'd-Din)	(Núrí'd-Din)	1
(Pás_háliks),	(Pashaliks),	1
(S_hahnáz	(S_háhnaz	1
(S_hayk_hu'l-Islám?)	(Shaykhu'l-Islám?)	1
(Shahr-i	(S_háhr-i	1
(_S_hayk_hu'l-Isláms_),	(_Shaykhu'l-Isláms_),	1
(_ismu'l-a'zam_)--Alláh–u–Abhá--has	(_ismu'l-a'zam_)--Alláh-u-Abhá--has	1
(al-Bayánu'l-'Arabi),	(al-Bayanu'l-'Arabi),	1
(‘Abbásid,	('Abbasid,	1
(‘Abdu’lláh,	(Abdulláh,	1
(‘Akkádemia	(Accademia	1
(‘Ulamás)	(Ulemas)	1
(Ḥáfiẓa),	(Hafiza),	1
.Ḥájíbu'd-Dawlih	.Hájíbu'd-Dawlih	1
1897du'lBaháShe	1897du'lBahaShe	1
20‘Abdu’lBahP's	20Abdu'lBahP's	1
ABU'L-FADL'S	ABU’L-FAḌL'S	1
ABU'L-QASIM AFNAN	ABÚ’L-QÁSIM AFNÁN	1
ABU'L-QASIM-I-FIRAHANI,	ABÚ’L-QÁSIM-I-FIRAHANI,	1
ABU'L-QASIM	ABÚ’L-QÁSIM	1
ABU’L-FADL,	ABU’L-FAḌL,	1
ABU’L-FADL	ABU’L-FAḌL	1
ABU’L-QASIM	ABÚ’L-QÁSIM	1
AFNAN,	AFNÁN,	1
AFNAN-I-KABIR	AFNÁN-I-KABIR	1
AFNAN	AFNÁN	1
AFNAN.	AFNÁN.	1
AGHSAN	AG_HṢÁN	1
ALLAH-VIRDI	ALLÁH-VIRDI	1
ALLÁH–U–ABHÁ,	ALLAHUABHÁ,	1
ALLÁH–U–ABHÁ	ALLÁH-U-ABHÁ	1
AQA KHAN-l-QÁ’IM-MAQAMI	ÁQÁ K_HÁN-l-QÁ’IM-MAQAMI	1
AQAY-I-KALIM	ÁQÁY-I-KALIM	1
Abhándhmgen	Abhandhmgen	1
Abhár)	Abhar)	1
Abhár, Ibn-i-Abhár	Abhar, Ibn-i-Abhar	1
Abhár,"	Abhar,"	1
Abu-Sa'id's	Abu-Sa‘íd's	1
